year_month,permit_unadjusted,permit_adjusted,state,year,month,month.num,population,guns_per_thousand,guns_sold,multiplier,instore_purchases,handgun,longgun,other,multiple,multiple_corrected,admin,prepawn_handgun,prepawn_longgun,prepawn_other,redemption_handgun,redemption_longgun,redemption_other,returned_handgun,returned_longgun,returned_other,rental_handgun,rental_longgun,private_handgun,private_longgun,private_other,privatereturn_handgun,privatereturn_longgun,privatereturn_other,totals
2003-10,4232,3774.845601,Iowa,2003,October,10,3074186,2.051372298,6306,1.1,5733,22,5711,,0,0,1,0,3,,2,223,,,,,,,,,,,,,10194
2005-10,4167,4248.460072,Iowa,2005,October,10,3074186,2.068905395,6360,1.1,5782,24,5758,,0,0,0,0,0,,2,161,,,,,,,,,,,,,10112
2004-11,4146,4079.93965,Iowa,2004,November,11,3074186,2.497213897,7677,1.1,6979,23,6952,,2,2,0,0,3,,3,207,,,,,,,,,,,,,11336
1999-10,4121,3806.984997,Iowa,1999,October,10,3074186,2.466083705,7581,1.1,6892,48,6840,,2,2,6,,,,,,,,,,,,,,,,,,11017
2003-04,4052,4283.507241,Iowa,2003,April,04,3074186,0.844809,2597,1.1,2361,17,2338,,3,3,8,0,1,,1,148,,,,,,,,,,,,,6568
2002-11,3951,4002.18797,Iowa,2002,November,11,3074186,2.19593089,6751,1.1,6137,32,6103,,1,1,17,0,1,,1,189,,,,,,,,,,,,,10295
2003-11,3913,4266.902386,Iowa,2003,November,11,3074186,2.438173878,7495,1.1,6814,16,6792,,3,3,15,0,1,,0,185,,,,,,,,,,,,,10925
2005-04,3892,4298.894386,Iowa,2005,April,04,3074186,0.97505486,2997,1.1,2725,20,2701,,2,2,0,0,1,,3,115,,,,,,,,,,,,,6734
2002-04,3816,4054.956419,Iowa,2002,April,04,3074186,0.858763913,2639,1.1,2400,40,2354,,3,3,12,0,5,,2,134,,,,,,,,,,,,,6366
2004-04,3777,3987.9514,Iowa,2004,April,04,3074186,0.935337029,2875,1.1,2614,26,2586,,1,1,13,0,3,,3,143,,,,,,,,,,,,,6552
2004-09,3756,4276.375523,Iowa,2004,September,09,3074186,1.424116823,4377,1.1,3980,30,3944,,3,3,8,0,0,,3,181,,,,,,,,,,,,,7925
2006-09,3733,4579.029326,Iowa,2006,September,09,3074186,1.593722696,4899,1.1,4454,11,4437,,3,3,0,0,2,,5,143,,0,0,,,,,,,,,,8334
